,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
14,471,5B,RetailStripmall,2009 RetailStripmall,3161.38,34028.778182,3161.38,34028.778182,0.0,40.75,367.77,0.0,909.22,0.0,141.2,0.0,593.11,0.0,0.0,0.0,1433.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0.0,72.33,0.0,0.0,0.0,0.0,0.0,1.1274633229792053,99.27896992690208,0.0128899404690356,1.135025846165422
15,2377,5B,RetailStripmall,2009 RetailStripmall,6368.33,68548.067287,6368.33,68548.067287,0.0,10.94,508.4,0.0,2031.85,0.0,67.11,0.0,1089.02,0.0,0.0,0.0,1333.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,75.31,0.0,0.0,0.0,0.0,0.0,0.8100962104664803,71.33315619020131,0.0017178758010341,0.1512678386187918
16,2738,5B,RetailStripmall,2009 RetailStripmall,4246.73,45711.377047,4246.73,45711.377047,0.0,392.36,379.55,0.0,1359.27,0.0,126.47,0.0,571.5,0.0,0.0,0.0,680.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,85.97,0.0,0.0,0.0,0.0,0.0,0.7570672022944713,66.6636780792407,0.0923910867891295,8.135512472915243
17,2701,5B,RetailStripmall,2009 RetailStripmall,3814.26,41056.313214,3814.26,41056.313214,0.0,203.9,271.85,0.0,691.61,0.0,45.98,0.0,766.78,0.0,0.0,0.0,692.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,75.37,0.0,0.0,0.0,0.0,0.0,0.6812147048182347,59.984473831669256,0.0534572892251708,4.707190470139421
18,2079,5B,RetailStripmall,2009 RetailStripmall,1711.53,18422.737767,1711.53,18422.737767,0.0,38.4,140.85,0.0,345.54,0.0,54.14,0.0,202.44,0.0,0.0,0.0,418.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,61.18,0.0,0.0,0.0,0.0,0.0,0.7174457941140384,63.17480840957139,0.0224360659760565,1.9756115111834889
19,1898,5B,RetailStripmall,2009 RetailStripmall,3007.21,32369.307719,3007.21,32369.307719,0.0,191.56,510.15,0.0,828.68,0.0,56.52,0.0,575.93,0.0,0.0,0.0,2170.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,69.23,0.0,0.0,0.0,0.0,0.0,1.4042684082588182,123.65308762722138,0.0637002404221853,5.609135236878311
20,3240,5B,RetailStripmall,2009 RetailStripmall,6295.46,67763.701894,6295.46,67763.701894,0.0,1.41,157.55,0.0,1485.42,0.0,87.93,0.0,901.18,0.0,0.0,0.0,400.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.63,0.0,68.61,0.0,0.0,0.0,0.0,0.0,0.4968469341398405,43.74993920192692,0.0002239709250793,0.0197217969598312
21,2398,5B,RetailStripmall,2009 RetailStripmall,7403.47,79690.210733,7403.47,79690.210733,0.0,228.65,344.45,0.0,2474.57,0.0,74.79,0.0,680.64,0.0,0.0,0.0,801.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82,0.0,67.74,0.0,0.0,0.0,0.0,0.0,0.6074502902017567,53.48913606668201,0.0308841664786917,2.719510402301599
22,3058,5B,RetailStripmall,2009 RetailStripmall,7868.54,84696.177706,7868.54,84696.177706,0.0,2.3,667.38,0.0,1931.76,0.0,147.48,0.0,1113.55,0.0,0.0,0.0,2043.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.18,0.0,60.39,0.0,0.0,0.0,0.0,0.0,0.7618592521611379,67.08564282514826,0.0002923032735424,0.0257388132386234
23,426,5B,RetailStripmall,2009 RetailStripmall,856.61,9220.464379,856.61,9220.464379,0.0,18.48,50.28,0.0,215.26,0.0,79.21,0.0,30.87,0.0,0.0,0.0,315.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.77,0.0,78.3,0.0,0.0,0.0,0.0,0.0,0.9548919578337868,84.08316974313644,0.0215734114707976,1.8996503256270536
24,321,5B,RetailStripmall,2009 RetailStripmall,1010.01,10871.646639,1010.01,10871.646639,0.0,227.93,39.74,0.0,230.74,0.0,59.06,0.0,166.01,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.03,0.0,85.39,0.0,0.0,0.0,0.0,0.0,0.6970029999702974,61.37471478022347,0.2256710329600697,19.87150024128006
25,3296,5B,RetailStripmall,2009 RetailStripmall,2258.23,24307.361897,2258.23,24307.361897,0.0,423.81,224.23,0.0,318.4,0.0,113.78,0.0,377.08,0.0,0.0,0.0,241.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,74.07,0.0,0.0,0.0,0.0,0.0,0.6027641117158129,53.07649384276578,0.187673531925446,16.525623984706332
26,540,5B,RetailStripmall,2009 RetailStripmall,3045.81,32784.794258999995,3045.81,32784.794258999995,0.0,886.8,100.21,0.0,652.19,0.0,131.37,0.0,284.66,0.0,0.0,0.0,336.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75,0.0,0.0,0.0,0.0,0.0,0.5197435165029992,45.766101559966486,0.291154077240537,25.63762056762829
