,sample_id,loc,blg,code,area_m2,area_ft2,net_conditioned_area_m2,net_conditioned_area_ft2,heating_elec,heating_ng,cooling_elec,cooling_ng,interior_lighting_elec,interior_lighting_ng,exterior_lighting_elec,exterior_lighting_ng,interior_equipment_elec,interior_equipment_ng,exterior_equipment_elec,exterior_equipment_ng,fans_elec,fans_ng,pumps_elec,pumps_ng,heat_rejection_elec,heat_rejection_ng,humidification_elec,humidification_ng,heat_recovery_elec,heat_recovery_ng,water_systems_elec,water_systems_ng,refrigeration_elec,refrigeration_ng,generators_elec,generators_ng,total_eui_elec_gj_m2,total_eui_elec_kbtu_ft2,total_eui_ng_gj_m2,total_eui_ng_kbtu_ft2
46,41,6A,RetailStripmall,2009 RetailStripmall,2053.92,22108.18949,2053.92,22108.18949,0,819.12,101.96,0,558.22,0,73.83,0,44.53,0,0,0,449.57,0,0,0,0,0,0,0,50.38,0,66.63,0,0,0,0,0,0.6549037937,57.66766219,0.3988081327,35.11711628
47,21,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1012.58,136.19,0,898.72,0,73.83,0,71.68,0,0,0,548.44,0,0,0,0,0,0,0,50.51,0,66.62,0,0,0,0,0,0.5582507243,49.15686013,0.3062169992,26.96398866
48,45,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,643.31,119.74,0,898.72,0,73.83,0,71.68,0,0,0,421.15,0,0,0,0,0,0,0,50.45,0,66.59,0,0,0,0,0,0.5147547131,45.32681165,0.1945450807,17.13069935
49,107,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,961.55,137.46,0,898.72,0,73.83,0,71.68,0,0,0,540.65,0,0,0,0,0,0,0,50.42,0,66.61,0,0,0,0,0,0.5562487525,48.98057618,0.2907848818,25.605111
50,83,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,770.29,169.33,0,898.72,0,73.83,0,71.68,0,0,0,960.26,0,0,0,0,0,0,0,49.75,0,66.6,0,0,0,0,0,0.6925763743,60.98492752,0.2329454387,20.51204925
51,89,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,709.9,136.61,0,898.72,0,73.83,0,71.68,0,0,0,544.67,0,0,0,0,0,0,0,48.27,0,66.6,0,0,0,0,0,0.5565541893,49.00747146,0.2146827389,18.90392418
52,43,6A,RetailStripmall,2009 RetailStripmall,6161.76,66324.56846,6161.76,66324.56846,0,1288.62,221.23,0,1674.66,0,73.83,0,133.58,0,0,0,794.23,0,0,0,0,0,0,0,50.49,0,66.6,0,0,0,0,0,0.4892465789,43.08068866,0.2091318065,18.41513591
53,46,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,840.03,129.39,0,898.72,0,73.83,0,71.68,0,0,0,493.14,0,0,0,0,0,0,0,50.49,0,66.61,0,0,0,0,0,0.5394618265,47.50240061,0.2540356968,22.36915542
54,2,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1074.09,132.96,0,898.72,0,73.83,0,71.68,0,0,0,550.91,0,0,0,0,0,0,0,50.56,0,66.63,0,0,0,0,0,0.5580420596,49.13848612,0.3248184012,28.6019382
55,95,6A,RetailStripmall,2009 RetailStripmall,3306.74,35593.41869,3306.74,35593.41869,0,1272.29,99.18,0,377.01,0,73.83,0,71.68,0,0,0,507.36,0,0,0,0,0,0,0,51.29,0,66.66,0,0,0,0,0,0.3771146204,33.20689046,0.3847565881,33.87980518
